name,code,latitude,longitude
Гдовский район,58208,58.596027,27.970717
Ирбитское МО,65218,58.586755,61.530761
Горнозаводский район,85941,58.581187,58.673364
Парфеньевский район,34234,58.580296,43.503154
Пешехонский район,78234,58.576613,39.069924
Новгородский район,49225,58.573671,31.45106
Весьегонский район,28210,58.562102,37.088051
Плюсский район,58243,58.555013,29.121163
Мотыгинский район,4235,58.551356,94.556577
Первомайский район,78229,58.54132,39.907881
Великий Новгород,49401,58.52281,31.269915
Бодайбинский район,25202,58.521767,115.852713
Колпашевский,69232,58.482989,82.829188
Мошенской район,49224,58.480783,34.806753
Сивинский район,85989,58.476939,54.207237
Карагайский район,85950,58.473602,55.020868
Енисейск,44120,58.448619,92.165163
Окуловский район,49228,58.426767,33.176095
Боровичский район,49206,58.420626,34.036474
Галичский район,34208,58.406215,41.958447
Поназыревский район,34236,58.389672,46.215411
Сандовский район,28249,58.385426,36.371582
Брейтовский район,78209,58.385185,37.946823
Нейский район,34224,58.379741,43.978013
Верхняя Тура,6547051,58.359814,59.820153
Шабалинский район,33247,58.359554,46.953422
Зуевский район,33214,58.354067,51.080408
Красноуральск,654601,58.35369,60.055961
Тобольский район,71242,58.345052,67.648432
Оричевский район,33230,58.340749,48.993532
Котельничский район,33219,58.337178,48.162536
Свечинский район,33234,58.335605,47.583365
Любимский район,78218,58.325493,40.745201
Чусовской район,86013,58.31761,57.429557
Шимский район,49255,58.315284,30.335317
Кирово-Чепецки район,33218,58.311029,50.482157
Антроповский район,34202,58.287458,43.004347
Крестецкий район,49214,58.280011,32.421456
Фаленский район,33243,58.27791,51.55815
Парабельский,69244,58.261623,80.389013
Шарьинский район,34248,58.260326,45.533958
Ярский район,94252,58.254417,52.074573
Мантуровский район,34220,58.243406,44.447922
Лесной район,28236,58.243216,35.604124
Кушвинский,654701,58.240317,59.482656
Струго-Красненский район,58256,58.215974,28.986218
Тобольск,71410,58.201698,68.253762
Туринский,65254,58.196039,63.565634
Глазовский район,94210,58.192615,52.715575
Краснокамский район,86034,58.167987,55.896294
Тавдинский,65248,58.162542,65.352365
Куменский район,33220,58.160372,50.016964
Карагинский район,30124,58.157447,161.633123
Сусанинский район,34244,58.148154,41.555571
Глазов,94420,58.14081,52.674235
Верещагинский район,85938,58.131546,54.517865
Рыбинский район,78240,58.122934,38.888284
Даниловский район,78215,58.117882,40.116191
Молоковский район,28242,58.114735,36.601641
Нытвенский район,85968,58.113955,55.367645
ЗАТО Свободный,655721,58.113166,60.473255
Мамско-Чуйский район,25224,58.106119,112.291342
Краснохолмский район,28232,58.100769,37.213591
Нижняя Салда,654771,58.074855,60.702577
Солецкий район,49238,58.073175,30.180627
Рыбинск,78415,58.048454,38.858406
Кезский район,94224,58.014383,53.708914
Пермь,86037,58.010374,56.229398
Алапаевский р-н,652012,57.995962,62.001919
Парфинский район,49230,57.986493,31.866774
Верхошижемский район,33208,57.984117,49.134459
Киренский район,25220,57.977584,109.212348
Удомельский район,28256,57.960032,34.992021
Некоузский район,78223,57.953853,37.894262
Верхнесалдинский,652111,57.94954,60.670615
Бологовский район,28208,57.946937,34.023727
Тутаевский район,78243,57.945475,39.574148
Усть-Илимск,25438,57.943039,102.741523
Костромской район,34214,57.933909,41.193631
Валдайский район,49208,57.925489,33.130622
Балезинский район,94204,57.924954,52.977551
Юкаменский район,94248,57.91395,52.182075
Нижний Тагил,654761,57.907605,59.972211
Лысьвенский район,85965,57.90618,58.000077
Очерский район,85983,57.892143,54.62825
Судиславский район,34242,57.891468,41.708141
Сунский район,33237,57.878822,50.025615
Старорусский район,49239,57.87675,31.401554
Псковский район,58249,57.872165,28.458916
Озерный,28553,57.86957,33.692833
Волотовский район,49210,57.858478,30.7134
Алапаевск,652011,57.853038,61.702672
Максатихинский район,28240,57.837499,35.860198
Усть-Ишимский район,52257,57.826622,71.082161
Островский район,34230,57.822754,42.328149
Ветлужский район,22218,57.820995,45.549059
Псков,58401,57.819365,28.331786
Богородский район,33206,57.81541,50.811506
Дновский район,58212,57.812083,30.110837
Мышкинский район,78221,57.809062,38.393196
Пермский район,85986,57.787124,55.729001
Макарьевский район,34218,57.782398,44.043078
Сонковский район,28251,57.774916,37.217831
Шахунский район,22258,57.774177,46.503222
Арбажский район,33202,57.769377,48.318807
Кострома,34401,57.767961,40.926858
Тоншаевский район,22253,57.767851,47.214257
Вагайский район,712131,57.767136,69.574878
Молчановский,69240,57.740973,84.193432
Кадыйский район,34210,57.736659,43.10733
Звездный,85987,57.735006,56.316355
Большесельский район,78203,57.726188,38.991671
Бежецкий район,28204,57.725669,36.555153
Первомайский,69248,57.724329,86.70805
Чаинский,69256,57.722483,82.382339
Порховский район,58247,57.702829,29.399658
Демянский район,49212,57.69207,32.565447
Красногорский район,94230,57.687004,52.4907
Некрасовский район,78226,57.677135,40.3656
Печорский район,58240,57.67494,27.691808
Унинский район,33240,57.66851,51.412722
Оханский район,85980,57.657312,55.218075
Солнечный,28556,57.65619,34.455772
Тигильский район,30132,57.647531,158.727747
Тевризский район,52255,57.639419,72.871686
Березовский район,85932,57.633681,57.546481
Дебесский район,94214,57.630785,53.803318
Казачинский район,4220,57.630703,93.3246
Ярославль,78401,57.626569,39.893787
Нижнетавдинский район,712321,57.625918,66.002593
Слободо-Туринский район,65239,57.605686,64.448058
Ярославский район,78250,57.603632,39.532969
Тужинский район,33238,57.603169,47.826207
Усть-Илимский район,25242,57.592611,101.640018
Нолинский район,33227,57.583619,49.818769
Красносельский район,34216,57.581732,41.331684
Ярковский район,712581,57.571221,67.176107
Кесовогорский район,28226,57.564821,37.286516
Кедровый,80418,57.564285,79.56259
Пировский район,4245,57.548293,91.97322
Большесосновский район,85935,57.542651,54.45563
Заволжский район,24205,57.531651,42.090419
Советский район,33236,57.53037,48.975808
Дедовичский район,58210,57.530226,30.019936
Поддорский район,49234,57.521435,31.052621
