id,date,total_death_missing,location,lat,lon,collapsed_region,region,collapsed_cause,cause_of_death
3997,21-Mar-2018,2,"Sahara desert, Sudan, near the border with Egypt",21.943709,27.672666,Africa,North Africa,Accident,Vehicle Accident
3998,21-Mar-2018,1,"Pima County jurisdiction, Arizona, USA",32.1631904,-112.9989586,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
3999,21-Mar-2018,1,"Pima County jurisdiction, Arizona, USA",32.3001349,-111.5736461,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4000,22-Mar-2018,7,"Sabratha, Libya",32.788441,12.48975,Africa,North Africa,Starvation / Dehydration,"Starvation, Dehydration"
4001,22-Mar-2018,2,"Sahara desert, Niger",20.833144,11.23635,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
4002,22-Mar-2018,1,"Rio Bravo, La Playita, Reynosa, Tamaulipas, Mexico",26.12286364,-98.32509329,US-Mexico Border,US-Mexico Border,Drowning,Drowning
4003,22-Mar-2018,1,"Iran, near the border with Turkey",37.503188,44.796086,Asia,South Asia,Shooting,Shot or stabbed
4004,22-Mar-2018,1,"Sabha, Libya",26.999031,14.424901,Africa,North Africa,Shooting,Shot or stabbed
4005,22-Mar-2018,1,"Agadez, Niger",16.975204,7.965108,Africa,Sub-Saharan Africa,Unknown / Other,Unknown
4006,23-Mar-2018,2,"Bamako, Mali",12.669425,-7.909603,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
4007,23-Mar-2018,1,"Pima County jurisdiction, Arizona, USA",31.9147139,-111.9653323,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4008,23-Mar-2018,1,"Sahara desert, Libya",21.693161,23.974745,Africa,North Africa,Unknown / Other,Unknown
4009,23-Mar-2018,1,"Unspecified location in the Sahara desert, Sudan",19.635357,27.103538,Africa,North Africa,Accident,Vehicle Accident
4010,23-Mar-2018,1,"Benghazi, Libya",31.986596,20.297225,Africa,North Africa,Mixed,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Suffocation"
4011,23-Mar-2018,1,"San, Mali",13.30658,-4.89249,Africa,Sub-Saharan Africa,Accident,Vehicle Accident
4012,23-Mar-2018,1,"Zegoua, Mali",10.48649,-5.65283,Africa,Sub-Saharan Africa,Violence,Excessive Physical Abuse
4013,24-Mar-2018,2,"Bodies found in an abandoned building near Potamos, outside Alexandroupolis, Greece, near border with Turkey",40.85773525,25.88608045,Europe,Europe,Violence,Violence
4014,24-Mar-2018,2,"Sahara desert, Libya",24.322071,13.740103,Africa,North Africa,Sickness,"Sickness and lack of access to medicines, Dehydration"
4015,24-Mar-2018,1,"Body found in Mexicali, Baja California, Mexico",32.6245389,-115.4522623,US-Mexico Border,US-Mexico Border,Unknown / Other,Suicide
4016,24-Mar-2018,1,"Sant'Anna Hospital in Turin, Italy, after being rejected on the France-Italy border",45.0360233,7.6740315,Europe,Europe,Sickness,Sickness and lack of access to medicines
4017,24-Mar-2018,1,"Sahara desert, Ash Shamaliyah, Sudan",20.610678,27.916851,Africa,North Africa,Sickness,Sickness and lack of access to medicines
4018,26-Mar-2018,5,"Bodies retrieved in Playa Morales and Playa Cascajal, Puerto Obaldía, Guna Yala, Panama",8.666783134,-77.41998379,Central America,Central America,Drowning,Drowning
4019,26-Mar-2018,2,"Unspecified location in the Indian Ocean, off the coast of Tanzania",-8.798085,40.785291,Africa,Sub-Saharan Africa,Starvation / Dehydration,"Starvation, Dehydration"
