pub_ID,pub_name,pub_town
1187,The Clay Pipe,Leighton Buzzard
11870,The Dog Inn,Halstead
11871,The White Hart,Halstead
11872,Three Bottles Inn,Great Yeldham
11873,The Three Pigeons,Halstead
11874,The Victory,Wickham St. Paul
11875,The Wheatsheaf,Castle Hedingham
11876,White Horse Inn,Ridgewell
11877,The White Lion,Sible Hedingham
1188,The Cock Inn,Wing
11916,The Alma Inn,Harwich
11918,The Pier,Harwich
11920,The British Flag,Harwich
11921,The Captain Fryatt,Parkeston
11922,The Castle Inn,Ramsey
11923,Ye Olde Cherry Tree,Little Oakley
11927,The Hanover Inn,Harwich
11929,Shakers Bar,Harwich
1193,Globe Inn,Linslade
11930,Kings Arms,Dovercourt
11931,The New Bell Inn,Harwich
11934,The Royal Oak,Dovercourt
11935,The Royal,Dovercourt
11937,The Stingray,Harwich
11940,The Trafalgar,Dovercourt
11943,The Anchor,Hullbridge
11945,The White Hart Inn,Hawkwell
11946,The Fatling,Hornchurch
11947,Chequers,Hornchurch
11948,The Rising Sun,Hornchurch
11949,The Crown Inn,Hornchurch
1195,The Hare,Linslade
11950,Good Intent,Hornchurch
11951,The Harrow,Hornchurch
11955,The Ardleigh,Hornchurch
11956,The Railway Hotel,Hornchurch
1197,The Vibe's,Linslade
1198,The Plough Inn,Wingfield
1199,The Queens Head,Wing
11993,The Bakers Arms,Stock
11994,The Bear,Stock
11995,The Bell,Ingatestone
11996,The Black Bull,Margaretting
12,The Bear Hotel,Bath
12002,The Hoop,Stock
12004,The Old Kings Head,Stock
12005,The Red Lion,Margaretting
12006,The Star Inn,Ingatestone
12007,The Brookside Tavern,Eastwood
12008,The Broadway,Leigh-On-Sea
12009,The Crooked Billet,Leigh-On-Sea
12010,The Elms (JD Wetherspoon),Leigh-On-Sea
12012,The Harry,Leigh-On-Sea
12013,Peterboat,Leigh-On-Sea
12015,Ye Olde Smack,Leigh-On-Sea
12016,Highland Bar,Leigh-On-Sea
12017,Woodcutters Arms,Leigh-On-Sea
12036,The Bell,Woodham Walter
12037,The Blue Boar,Maldon
12038,Borough Arms,Maldon
12039,The Bull Inn,Great Totham
1204,The Rose & Crown,Ivinghoe
12040,The Compasses,Great Totham
12041,The Cricketers Inn,Goldhanger
12045,The Royal Oak,Maldon
12046,Heybridge Inn,Heybridge
12048,The Hurdlemakers Arms,Woodham Mortimer
12049,The Jolly Sailor,Heybridge Basin
12050,The Jolly Sailor,Maldon
12051,The Kings Head,Tollesbury
12052,Maltsters Arms,Heybridge
12053,Mill Beach Hotel,Heybridge
12054,The Old Ship,Heybridge Basin
12055,Prince of Wales,Great Totham
12056,The Queen Victoria,Woodham Walter
12057,The Queen Victoria,Maldon
12058,The Queens Head,Maldon
12059,The Warwick,Maldon
1206,Ship,Linslade
12060,The Rose & Crown (JD Wetherspoon),Maldon
12061,The Round Bush,Mundon
12063,Black Rabbit,Maldon
12064,Swan Hotel,Maldon
12065,The Swan,Little Totham
12066,Le Bouchon,Heybridge
12067,The White Horse,Maldon
1208,The Sun Inn,Leighton Buzzard
1209,Swan Hotel (JD Wetherspoon),Leighton Buzzard
1210,The Swan Inn,Stewkley
12100,The Albion,Rainham
12101,The New Angel Inn,Rainham
12102,Phoenix at Rainham,Rainham
1213,The Three Horseshoes,Cheddington
12130,The Alderman,Romford
12131,The Archers,Gidea Park
12132,Bear Inn,Romford
12133,The Bell & Gate,Romford
12134,The Bull,Romford
1214,The Unicorn,Cublington
12140,Crown,Romford
12141,The Drill Hotel,Romford
12145,The Golden Lion,Romford
12146,The Harrow,Romford
12148,The Maltsters Arms,Abridge
1215,The White Horse,Linslade
12150,Mawney Arms,Romford
12152,The Moon & Stars (JD Wetherspoon),Romford
12155,The Orange Tree,Havering-Atte-Bower
12156,The Aspen Tree,Romford
12159,Prince Albert,Romford
12161,The Rabbits,Stapleford Abbotts
12163,The Top Oak,Stapleford Abbotts
12164,Saxon King,Romford
12165,The Shepherd & Dog,Romford
12166,The Sun,Romford
12169,The Tollgate Tavern,Chadwell Heath
12170,The Wheatsheaf,Romford
12175,The Axe,Saffron Walden
12176,The Bell Inn,Wendens Ambo
12177,The Bluebell Inn,Hempstead
12178,The Cricketers,Clavering
1218,The Barrels,Luton
12180,Cross Keys Hotel,Saffron Walden
12181,Duke Of York,Saffron Walden
12182,The Eight Bells,Saffron Walden
12183,The Fleur De Lys,Widdington
12184,The Fox & Hounds,Clavering
12185,The Gate,Saffron Walden
12187,The Ickleton Lion,Ickleton
12188,The Kings Arms,Saffron Walden
12190,The Old English Gentleman,Saffron Walden
12191,The Plough Inn At Radwinter,Radwinter
12192,The Plough,Debden
12197,The Red Lion,Hinxton
12198,The Crown & Thistle,Great Chesterford
12199,The Saffron Hotel,Saffron Walden
12200,White Hart,Wimbish
12202,White Horse Inn,Newport
12203,The Archer,South Ockendon
12204,Jack O Lantern,South Ockendon
12207,The Royal Oak,South Ockendon
12208,The Ship,Aveley
12211,Woodlands Edge,South Ockendon
1222,Bird & Bush,Luton
1223,Biscot Mill,Luton
1225,The Brewery Tap,Luton
12263,The Cap & Feathers,Tillingham
12264,The Cricketers,Bradwell-On-Sea
12265,The Fox & Hounds,Tillingham
12266,The Green Man,Southminster
12267,The Kings Head,Bradwell-On-Sea
12268,The Kings Head,Southminster
12269,The Queens Head,Southminster
12270,Rose Inn,Southminster
12271,The St Lawrence Inn,St. Lawrence
12272,The Star,Steeple
12273,The Station Arms,Southminster
12274,Stone Inn,St. Lawrence
1228,The Chequers,Caddington
12287,The Cock,Stansted Mountfitchet
12288,Dog & Duck,Stansted Mountfitchet
1229,The Chequers,Luton
12291,Kings Arms Hotel,Stansted Mountfitchet
12292,The Rose & Crown,Stansted Mountfitchet
12294,The Old Bell Hotel,Stansted Mountfitchet
12296,Berkeley Arms Hotel,Berkeley
12298,Malthouse Hotel,Berkeley
12299,Boars Head Inn,Berkeley
12302,The Cock Inn,Blakeney
12305,The Kings Arms,Stow On The Wold
12309,Adam & Eve,Cheltenham
12314,The Bayshill,Cheltenham
12317,The Beehive,Cheltenham
12318,The Beehive,Prestbury
12319,Bell Inn,Stow On The Wold
12320,The Bell Inn,Cheltenham
